onset	duration	trial_type	file
559.514	5.628000000000043	ITI	Rien
565.142	0.5	speech	voc9
565.642	4.3549999999999045	ITI	Rien
569.997	0.5	non_speech	voc52
570.497	4.435000000000059	ITI	Rien
574.932	0.5	non_speech	voc51
575.432	4.433999999999969	ITI	Rien
579.866	0.5006349206349207	artificial	nvoc50
580.3666349206349	4.274365079365056	ITI	Rien
584.641	0.5	non_speech	voc50
585.141	4.434000000000083	ITI	Rien
589.575	0.5	speech	voc8
590.075	4.593999999999937	ITI	Rien
594.669	0.5002721088435375	artificial	nvoc49
595.1692721088435	4.353727891156504	ITI	Rien
599.523	0.5	non_speech	voc49
600.023	5.150999999999954	ITI	Rien
605.174	0.5	artificial	nvoc47
605.674	4.355000000000018	ITI	Rien
610.029	0.5	animal	frog_croaking
610.529	4.433999999999969	ITI	Rien
614.963	0.5000453514739229	environmental	nvoc25
615.4630453514739	5.9459546485261034	ITI	Rien
621.409	0.5	emotional	2_happiness
621.909	4.595000000000027	ITI	Rien
626.504	0.5005895691609977	speech	voc7
627.004589569161	4.592410430838963	ITI	Rien
631.597	0.5	non_speech	voc48
632.097	4.593000000000075	ITI	Rien
636.69	0.5009523809523809	environmental	nvoc24
637.1909523809525	5.149047619047597	ITI	Rien
642.34	0.5007256235827664	artificial	nvoc46
642.8407256235828	4.196274376417236	ITI	Rien
647.037	0.5006349206349207	non_speech	voc6
647.5376349206349	4.9903650793650645	ITI	Rien
652.528	0.5	emotional	2_fear
653.028	4.274999999999977	ITI	Rien
657.303	0.5009977324263039	artificial	nvoc45
657.8039977324263	4.27500226757365	ITI	Rien
662.079	0.5	non_speech	voc47
662.579	4.354000000000042	ITI	Rien
666.933	0.5	animal	chicken
667.433	4.433999999999969	ITI	Rien
671.867	0.5008616780045352	speech	voc5
672.3678616780045	4.9111383219955	ITI	Rien
677.279	0.5000907029478459	speech	voc4
677.7790907029479	4.673909297052132	ITI	Rien
682.453	0.5043764172335601	animal	cat
682.9573764172335	4.508623582766473	ITI	Rien
687.466	0.5043764172335601	animal	hyena
687.9703764172335	4.6686235827664415	ITI	Rien
692.639	0.5	artificial	nvoc44
693.139	5.470000000000027	ITI	Rien
698.609	0.5008163265306123	environmental	nvoc23
699.1098163265307	4.910183673469332	ITI	Rien
704.02	0.5006802721088436	environmental	nvoc22
704.5206802721088	7.696319727891159	ITI	Rien
712.217	0.5007709750566893	speech	voc3
712.7177709750566	4.196229024943314	ITI	Rien
716.914	0.5	environmental	nvoc21
717.414	4.752000000000066	ITI	Rien
722.166	0.5043764172335601	emotional	2_disgust
722.6703764172336	4.429623582766409	ITI	Rien
727.1	0.5009070294784579	speech	voc2
727.6009070294784	4.514092970521529	ITI	Rien
732.115	0.5	emotional	2_anger
732.615	4.9109999999999445	ITI	Rien
737.526	0.5007256235827664	environmental	nvoc20
738.0267256235827	4.274274376417324	ITI	Rien
742.301	0.5005442176870748	artificial	nvoc43
742.8015442176871	4.513455782312935	ITI	Rien
747.315	0.5000453514739229	environmental	nvoc19
747.8150453514739	4.19595464852599	ITI	Rien
